name,number,x,y,z,parent
root ,0,0.0,0.0,0.0,0
root_right ,-1,20.0,0.0,0.0,0
cross_root_conn_a ,-1,20.0,0.0,9.0,0
conn_a ,104,20.0,-50.0,9.0,0
cross_conn_b_bag_b_bag_a ,-1,20.0,-47.0,5.0,0
bag_b_r ,224,20.0,-69.0,5.0,0
bag_a_r ,236,20.0,-147.0,5.0,0
conn_b ,222,20.0,-81.0,5.0,0
cross_conn_i_conn_j,-1,20.0,-35.0,5.0,0
conn_i ,212,30.0,-73.0,5.0,0
conn_j ,214,30.0,-73.0,5.0,0
root_left ,-1,20.0,0.0,0.0,0
cross_root_conn_e ,-1,-20.0,-15.0,0.0,0
conn_e ,10,-15.0,-70.0,20.0,0
conn_c ,14,0.0,-76.0,10.0,0
cross_root_conn_f,-1,-20.0,-25.0,0.0,0
conn_f,30,5.0,-85.0,0.0,0
conn_f ,37,0.0,-103.0,0.0,0
conn_f ,60,-34.0,-55.0,6.0,0
conn_d ,38,-5.0,-94.0,5.0,0
bag_b_l,55,-20.0,-115.0,10.0,0
conn_k ,45,0.0,-104.0,5.0,0
box ,53,-20.0,-55.0,0.0,0
conn_g ,80,-30.0,-105.0,5.0,0
conn_h ,82,-24.0,-114.0,0.0,0
bag_a_l ,98,-25.0,-225.0,0.0,0
