name,number,x,y,z,parent,distance_to_parent
root,0,0.0,0.0,0.0,0,0
conn_a,104,11.91,-26.43,-35.48,root_cross_right,53
conn_f_30,30,-13.13,-69.58,-8.28,cross_f30,39
conn_f_37,37,38.42,-89.23,11.21,cross_f37,14
conn_f_60,60,-10.24,-92.14,-29.76,box,53
conn_e,10,2.86,-59.45,19.52,cross_e_c,32
conn_c,14,-13.96,-62.53,14.65,cross_e_c,32
bag_b_l,55,-12.57,-89.16,-10.16,box,51
box,53,-7.36,-48.02,-0.77,cross_k,20
cross_gh,80,4.38,-75.17,-22.37,box,38
conn_g,80,-2.05,-80.39,-29.05,cross_gh,11
conn_h,82,2.07,-83.11,-23.38,cross_gh,9
conn_k,45,-15.24,-93.32,-22.33,cross_k,56
conn_d,38,27.72,-103.26,18.5,cross_f37,25
bag_b_r,224,26.07,-83.62,11.65,cross_bag_br,55
bag_a_r,236,9.07,-122.0,-16.94,cross_bag_br,100
conn_b,222,14.33,-61.51,-20.89,cross_bag_br,37
conn_i,212,16.35,-47.14,6.79,cross_ij2,13
conn_j,214,10.5,-42.59,7.45,cross_ij2,12
bag_a_l,98,40.64,-143.85,61.06,cross_gh,118
