name,number,x,y,z
conn_a,104,20.0,-50.0,-9.0
conn_f_30,30,11.89,-84.75,1.91
conn_f_37,37,19.58,-118.82,-7.43
conn_f_60,60,-24.05,-119.99,-16.04
conn_e,10,-5.17,-87.17,-12.2
conn_c,14,-6.8,-86.82,-10.31
bag_b_l,55,-19.98,-119.61,-7.97
box,53,-15.98,-71.01,-0.61
conn_g,80,-23.15,-112.08,-5.5
conn_h,82,-20.09,-115.33,0.62
conn_k,45,-2.02,-100.59,-7.05
conn_d,38,10.46,-128.74,-11.54
bag_b_r,224,16.61,-105.38,-4.43
bag_a_r,236,14.08,-148.99,-2.96
conn_b,222,20.94,-86.09,1.42
conn_i,212,16.77,-74.41,3.62
conn_j,214,17.93,-71.12,4.79
bag_a_l,98,-23.57,-225.47,2.09
