name,number,x,y,z,parent,distance_to_parent
root,0,0.0,0.0,0.0,0,0
root_cross_right,-1,10.0,1.0,0.0,root,10
root_cross_right2,-1,12.0,-15.0,0.0,root_cross_right,16
root_cross_left,-1,-13.0,-20.0,0.0,root,24
conn_a,104,20.0,-50.0,-9.0,root_cross_right,53
cross_e,-1,-13.0,-25.0,0.0,root_cross_left,5
cross_e_c,-1,-4.0,-55.0,-10.0,cross_e,33
cross_f,-1,-13.0,-30.0,0.0,cross_e,5
cross_k,-1,-13.0,-50.0,0.0,cross_f,20
cross_f30,-1,-3.0,-50.0,0.0,cross_f,22
conn_f_30,30,12.0,-86.0,0.0,cross_f30,39
cross_f37,-1,7.0,-105.0,-9.0,cross_f30,57
conn_f_37,37,17.0,-115.0,-9.0,cross_f37,14
conn_f_60,60,-24.0,-120.0,-16.0,box,53
conn_e,10,-5.0,-87.0,-12.0,cross_e_c,32
conn_c,14,-3.0,-87.0,-12.0,cross_e_c,32
bag_b_l,55,-20.0,-120.0,-10.0,box,51
box,53,-15.0,-70.0,0.0,cross_k,20
cross_gh,80,-25.0,-107.0,-1.0,box,38
conn_g,80,-25.0,-114.0,-9.0,cross_gh,11
conn_h,82,-21.0,-115.0,0.0,cross_gh,9
conn_k,45,0.0,-104.0,-10.0,cross_k,56
conn_d,38,13.0,-129.0,-9.0,cross_f37,25
cross_bag_br,-1,13.0,-50.0,0.0,root_cross_right2,35
bag_b_r,224,16.0,-105.0,-5.0,cross_bag_br,55
bag_a_r,236,13.0,-150.0,0.0,cross_bag_br,100
conn_b,222,21.0,-86.0,0.0,cross_bag_br,37
cross_ij1,-1,12.0,-37.0,3.0,root_cross_right2,22
cross_ij2,-1,17.0,-62.0,4.0,cross_ij1,26
conn_i,212,16.0,-75.0,3.0,cross_ij2,13
conn_j,214,22.0,-73.0,3.0,cross_ij2,12
bag_a_l,98,-25.0,-225.0,0.0,cross_gh,118
