name,x,y,z
root,0.0,0.0,0.0
root_cross_right,10.0,-1.0,0.0
root_cross_left,-13.0,-20.0,0.0
root_cross_right2,12.92,-15.86,4.85
conn_k,-31.66,-80.32,25.6
cross_e,-13.96,-24.55,-1.85
cross_bag_br,27.43,-45.75,-1.08
cross_ij1,14.52,-34.76,15.09
cross_e_c,-3.71,-45.68,-12.88
cross_f,-14.91,-29.09,-3.7
bag_b_r,54.23,-76.62,6.44
bag_a_r,8.48,-95.45,-45.57
conn_b,21.68,-70.59,-8.44
cross_ij2,11.94,-54.58,17.6
conn_e,11.85,-70.48,-25.78
conn_c,-7.3,-71.44,-12.9
cross_k,-18.89,-44.64,-15.63
cross_f30,-18.37,-50.82,-3.64
conn_i,22.14,-53.55,25.6
conn_j,6.92,-63.93,12.0
box,-6.84,-57.67,-24.66
conn_a,10.5,-53.09,-9.78
conn_f_30,-2.06,-75.94,4.79
cross_f37,-47.56,-77.55,-9.53
conn_f_60,-30.07,-92.93,7.37
bag_b_l,4.99,-93.93,-6.33
cross_gh,-25.93,-73.96,-7.63
conn_f_37,-45.07,-88.91,-16.11
conn_d,-63.93,-96.09,-13.16
conn_g,-17.39,-80.83,-8.52
conn_h,-24.53,-81.75,-11.9
bag_a_l,-49.38,-175.72,-62.57
