name,number,x,y,z
root,0,0.0,0.0,0.0
conn_a,104,20.0,-50.0,-9.0
conn_f_30,30,12,-86,0.0
conn_f_37,37,17,-115,-9
conn_f_60,60,-24.0,-120.0,-16.0
conn_e,10,-5.0,-87.0,-12.0
conn_c,14,-3.0,-87.0,-12.0
bag_b_l,55,-20.0,-120.0,-10.0
box,53,-15.0,-70.0,0.0
conn_g,80,-25.0,-114.0,-9.0
conn_h,82,-21.0,-115.0,0.0
conn_k,45,0.0,-104.0,-10.0
conn_d,38,13.0,-129.0,-9.0
bag_b_r,224,16.0,-105.0,-5.0
bag_a_r,236,13.0,-150.0,0.0
conn_b,222,21.0,-86.0,0.0
conn_i,212,16,-75.0,3.0
conn_j,214,22.0,-73.0,3.0
bag_a_l,98,-25.0,-225.0,0.0
