distances,mae,component_mae
1,1.8881666666666663,1.1399999999999997
2,1.9375624999999999,0.9786666666666666
3,1.8650208333333336,1.1019298245614035
4,2.2489583333333334,1.43540350877193
5,2.4001875,1.3926666666666665
6,2.292770833333333,1.6175087719298247
7,2.745125,1.8380350877192981
8,2.6679999999999997,2.1651228070175437
9,2.75425,2.110385964912281
10,2.956666666666666,2.4354385964912284
11,3.1597500000000007,2.6911929824561405
12,3.471354166666667,3.3121754385964914
13,3.4698124999999997,3.0629824561403507
14,3.4130000000000003,3.1470877192982454
15,3.72175,3.70280701754386
16,3.789520833333333,3.9337543859649116
17,4.140041666666667,4.221543859649122
18,4.02825,4.168491228070176
19,3.9195208333333333,4.142
20,4.493125000000001,4.689473684210527
