distances,mae,component_mae
1,2.4716458333333327,1.7449473684210524
2,2.420229166666666,1.7630526315789474
3,2.7248958333333335,2.250210526315789
4,2.9881666666666664,2.669543859649123
5,2.62625,2.218631578947369
6,2.668229166666667,2.129964912280702
7,3.2188749999999997,2.9927017543859646
8,2.9338958333333336,2.6930526315789476
9,3.6981874999999995,3.7117543859649116
10,3.469770833333334,3.6391228070175443
11,3.977520833333334,4.111122807017544
12,4.2275625,4.541333333333332
13,4.412583333333333,5.228070175438597
14,4.735854166666667,5.511438596491227
15,4.770145833333333,5.106035087719297
16,4.56875,5.176561403508773
17,4.961,5.732701754385965
18,5.418541666666667,6.4263859649122805
19,6.178458333333333,7.117929824561403
20,5.839833333333333,7.079894736842105
